Marital status,Application mode,Application order,Gender,Age at enrollment,Course,Course Name,Daytime/evening attendance,Previous qualification,Previous qualification (grade out of 200),Nationality Name,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Student_Success
single,Short cycle diploma holders,1,male,21.0,9085,Veterinary Nursing,daytime,Professional higher technical course,150.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Installation and Machine Operators and Assembly Workers,150.3,yes,no,no,yes,yes,no,7,11,15,9,14.22222222,0,4,9,15,7,13.75,0,8.9,1.4,3.51,Graduate
single,Over 23 years old,1,male,27.0,9119,Informatics Engineering,daytime,Secondary education,138.7,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Intermediate Level Technicians and Professions,111.3,no,no,no,yes,no,no,1,6,7,3,12.0,0,2,6,7,2,11.0,0,13.9,-0.3,0.79,Dropout
divorced,Over 23 years old,1,female,43.0,9003,Agronomy,daytime,11th year of schooling,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",160.0,no,no,no,yes,no,no,13,18,19,18,14.63157895,0,10,13,14,13,14.23076923,1,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,1,male,18.0,171,Animation and Multimedia Design,daytime,Secondary education,134.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,141.7,yes,no,no,yes,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
single,Technological specialization diploma holders,1,male,20.0,9070,Communication Design,daytime,Technological specialization course,123.9,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",123.9,no,no,no,yes,no,no,2,7,9,5,12.6,0,5,9,10,8,12.75,1,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,3,female,18.0,9773,Journalism and Communication,daytime,Secondary education,158.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",157.0,yes,no,no,yes,no,no,0,6,6,6,12.66666667,0,0,6,7,6,12.57142857,0,10.8,1.4,1.74,Graduate
single,Holders of other higher courses,1,female,33.0,9500,Nursing,daytime,Higher education - degree,140.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",140.0,no,no,no,yes,no,no,2,7,8,6,14.35,0,3,8,10,6,14.58333333,0,16.2,0.3,-0.92,Dropout
single,2nd phase - general contingent,3,female,20.0,9147,Management,daytime,Secondary education,125.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",125.7,no,no,no,yes,no,no,0,5,7,5,11.16666667,0,0,5,9,4,10.75,0,15.5,2.8,-4.06,Enrolled
divorced,Over 23 years old,1,female,43.0,8014,Social Service (evening attendance),evening,Higher education - degree,100.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130.0,no,no,no,yes,yes,no,0,6,7,5,12.2,0,0,6,6,6,12.33333333,0,9.4,-0.8,-3.12,Graduate
single,2nd phase - general contingent,1,female,18.0,9085,Veterinary Nursing,daytime,Secondary education,129.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,118.2,yes,no,no,yes,yes,no,0,5,7,4,13.25,0,0,5,8,5,15.57142857,0,10.8,1.4,1.74,Graduate
single,Over 23 years old,1,male,34.0,8014,Social Service (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,148.5,no,no,no,yes,no,no,0,6,6,4,12.25,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
single,Technological specialization diploma holders,1,female,20.0,9085,Veterinary Nursing,daytime,Secondary education,130.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Intermediate Level Technicians and Professions,130.0,yes,no,no,yes,no,no,0,6,13,5,11.8,0,0,6,19,4,12.0,0,12.4,0.5,1.79,Enrolled
single,2nd phase - general contingent,1,female,21.0,9853,Basic Education,daytime,Secondary education,133.1,Portuguese,Unknown,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Student,Intermediate Level Technicians and Professions,117.1,yes,no,no,yes,yes,no,0,6,12,0,0.0,0,0,6,12,0,0.0,0,7.6,2.6,0.32,Dropout
married,Change of course,1,male,38.0,9070,Communication Design,daytime,Higher education - bachelor's degree,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140.0,yes,no,no,yes,no,no,14,18,18,18,14.5,0,13,18,18,18,14.5,0,16.2,0.3,-0.92,Graduate
married,Over 23 years old,1,female,37.0,9500,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,120.0,no,no,no,yes,no,no,0,7,9,2,10.75,0,0,7,9,0,0.0,0,16.2,0.3,-0.92,Dropout
married,Over 23 years old,1,male,32.0,9991,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,133.2,yes,no,no,yes,no,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,Over 23 years old,1,male,34.0,9991,Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,142.7,no,no,yes,yes,yes,no,0,5,11,5,14.71428571,0,0,5,14,5,14.375,5,16.2,0.3,-0.92,Graduate
married,Over 23 years old,1,male,47.0,9991,Management (evening attendance),evening,Secondary education,150.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",122.5,no,no,no,yes,no,no,0,5,9,4,11.5,0,0,5,6,5,11.6,1,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,2,female,20.0,9500,Nursing,daytime,Secondary education,115.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,108.4,yes,no,no,yes,yes,no,0,7,8,7,11.9625,0,0,8,9,8,13.04444444,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,2,female,18.0,9254,Tourism,daytime,Secondary education,136.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Administrative staff,123.4,yes,no,no,yes,yes,no,0,6,9,6,13.57142857,0,0,6,6,6,12.16666667,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,2,male,21.0,9070,Communication Design,daytime,Secondary education,152.0,Mexican,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",168.5,yes,no,no,yes,no,yes,0,6,7,5,14.6,0,0,6,6,5,14.2,0,16.2,0.3,-0.92,Graduate
single,Over 23 years old,1,male,44.0,9003,Agronomy,daytime,Secondary education,100.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Higher Education - Bachelor's Degree,Unskilled Workers,Armed Forces Professions,120.0,no,no,yes,no,no,no,2,7,14,4,12.0,2,0,6,16,0,0.0,1,15.5,2.8,-4.06,Dropout
single,Holders of other higher courses,1,male,26.0,9119,Informatics Engineering,daytime,Higher education - degree,130.0,Portuguese,Unknown,Unknown,Administrative staff,Other Situation,130.0,no,no,no,yes,no,no,0,5,5,0,0.0,0,0,5,6,0,0.0,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,1,male,19.0,9500,Nursing,daytime,Secondary education,130.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,117.8,yes,no,no,yes,no,no,0,8,8,7,15.88571429,0,0,8,8,7,15.88571429,0,10.8,1.4,1.74,Graduate
single,Over 23 years old,1,male,52.0,9773,Journalism and Communication,daytime,11th year of schooling,120.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,129.8,yes,no,no,yes,no,no,0,6,7,5,13.0,0,0,6,6,6,15.0,0,9.4,-0.8,-3.12,Graduate
single,Over 23 years old,1,female,51.0,9670,Advertising and Marketing Management,daytime,Secondary education,130.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Higher Education - Bachelor's Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,159.0,no,no,no,yes,yes,no,0,6,8,5,11.6,0,0,6,9,5,14.2,0,12.4,0.5,1.79,Graduate
single,Change of course,1,female,41.0,8014,Social Service (evening attendance),evening,Secondary education,113.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Student,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",128.2,no,no,no,no,no,no,0,6,6,0,0.0,6,0,6,12,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,Change of course,1,female,18.0,171,Animation and Multimedia Design,daytime,Secondary education,133.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",133.0,no,no,no,yes,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Enrolled
single,3rd phase - general contingent,1,female,21.0,9991,Management (evening attendance),evening,Secondary education,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",145.0,no,no,no,yes,yes,no,0,5,6,4,12.25,0,0,5,8,4,11.8,0,10.8,1.4,1.74,Enrolled
single,2nd phase - general contingent,4,female,18.0,9238,Social Service,daytime,Secondary education,124.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,117.7,yes,no,no,yes,no,no,0,6,10,5,12.0,0,0,6,11,4,12.0,0,16.2,0.3,-0.92,Graduate
single,Short cycle diploma holders,1,female,20.0,9085,Veterinary Nursing,daytime,Professional higher technical course,160.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,160.0,yes,no,no,yes,no,no,7,11,15,11,13.78571429,0,4,9,9,9,13.88888889,0,8.9,1.4,3.51,Graduate
single,2nd phase - general contingent,3,male,21.0,9085,Veterinary Nursing,daytime,Secondary education,121.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,111.9,yes,no,no,yes,no,no,0,5,11,0,0.0,0,0,5,10,5,12.28571429,1,10.8,1.4,1.74,Graduate
single,Holders of other higher courses,1,female,24.0,9853,Basic Education,daytime,Higher education - degree,140.0,Portuguese,Unknown,Unknown,Student,Student,140.0,yes,no,no,no,no,no,0,6,12,0,0.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,Holders of other higher courses,1,female,24.0,9500,Nursing,daytime,Higher education - degree,170.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Administrative staff,170.0,no,no,no,yes,no,no,4,7,7,7,16.88571429,0,3,8,9,8,15.74444444,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,4,male,19.0,171,Animation and Multimedia Design,daytime,Secondary education,137.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,141.2,yes,no,no,yes,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
single,Change of course,1,male,18.0,9670,Advertising and Marketing Management,daytime,Secondary education,141.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,133.3,yes,no,no,yes,no,no,0,6,13,4,13.75,0,0,6,8,5,11.2,0,13.9,-0.3,0.79,Enrolled
married,Transfer,1,male,22.0,9254,Tourism,daytime,Secondary education,136.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,Directors of administrative and commercial services,130.0,yes,no,no,yes,no,no,2,6,13,4,11.5,0,2,6,12,2,12.5,0,7.6,2.6,0.32,Dropout
single,2nd phase - general contingent,1,female,18.0,9853,Basic Education,daytime,Secondary education,133.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,127.4,no,no,yes,yes,yes,no,0,7,7,7,12.71428571,0,0,7,7,7,12.28571429,0,16.2,0.3,-0.92,Graduate
single,Over 23 years old,1,female,31.0,8014,Social Service (evening attendance),evening,Secondary education,133.1,Portuguese,Unknown,Higher Education - Doctorate,Student,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",118.5,yes,no,no,yes,no,no,0,6,12,0,0.0,0,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout
single,Change of course,1,male,25.0,171,Animation and Multimedia Design,daytime,Technological specialization course,140.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",140.0,no,no,no,no,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,2nd phase - general contingent,2,male,19.0,9853,Basic Education,daytime,Secondary education,127.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,121.1,yes,no,no,yes,no,no,0,7,10,6,13.66666667,0,0,7,9,6,12.5,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,1,female,19.0,9085,Veterinary Nursing,daytime,Secondary education,147.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",133.7,yes,no,no,yes,yes,no,0,5,10,2,13.5,0,0,5,11,5,11.4,1,10.8,1.4,1.74,Enrolled
single,1st phase - special contingent,1,female,20.0,9003,Agronomy,daytime,Secondary education,147.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,140.7,yes,no,yes,yes,yes,no,13,18,19,18,15.05263158,0,11,13,13,13,14.53846154,0,15.5,2.8,-4.06,Graduate
single,Over 23 years old,2,male,27.0,9991,Management (evening attendance),evening,Secondary education,133.1,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,102.5,no,no,no,no,no,no,0,5,10,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,1,male,20.0,9238,Social Service,daytime,Secondary education,125.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",128.5,no,no,no,yes,no,no,0,6,13,1,14.0,0,0,6,7,0,0.0,0,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,1,female,19.0,9500,Nursing,daytime,Secondary education,117.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,117.4,yes,no,no,yes,no,no,0,7,12,5,11.8,0,0,7,9,6,11.70833333,0,11.1,0.6,2.02,Enrolled
single,1st phase - general contingent,1,female,22.0,9254,Tourism,daytime,Secondary education,129.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",121.0,no,no,no,yes,yes,no,0,6,9,6,12.83333333,0,0,6,6,4,13.25,0,16.2,0.3,-0.92,Graduate
single,Over 23 years old,1,male,28.0,9003,Agronomy,daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",100.0,no,no,yes,no,no,no,4,10,19,8,11.88888889,0,2,8,17,5,11.6,1,15.5,2.8,-4.06,Dropout
